# Particles file: positions, velocities, colors, radii
 0.61810  8.36549 -0.67880	 0.03499  0.04423  0.00432	 0.50217  0.15800  0.19404	 0.03400
 0.16167 -1.10232  0.65686	 0.00000 -0.01217  0.00000	 0.50219  0.15800  0.19405	 0.03400
-0.01905 -1.48096  0.65848	 0.00000 -0.01217  0.00000	 0.50224  0.15802  0.19407	 0.03400
 0.35329 -1.06707  0.75386	 0.00000 -0.01217  0.00000	 0.50230  0.15804  0.19409	 0.03400
-0.33084 -1.40455  0.08665	 0.00000 -0.01217  0.00000	 0.50234  0.15805  0.19411	 0.03400
-3.42986  13.60249  2.01858	 0.02821  0.00412  0.04846	 0.50238  0.15806  0.19413	 0.03400
 0.55338  0.79375  1.95254	-0.05227 -0.03086  0.08190	 0.50241  0.15807  0.19414	 0.03400
-4.38251  1.57044 -3.80926	-0.07550  0.07698 -0.00897	 0.50245  0.15808  0.19415	 0.03400
 2.48997  18.40227 -0.27786	-0.03744 -0.05165  0.06879	 0.50252  0.15811  0.19418	 0.03400
 1.20132  19.30224  2.24136	 0.04430  0.00742 -0.03126	 0.50252  0.15811  0.19418	 0.03400
 0.16064  3.14755 -3.36390	-0.00508 -0.06132 -0.05830	 0.50257  0.15812  0.19420	 0.03400
-0.11633 -1.27925 -0.64423	 0.00000 -0.01217  0.00000	 0.50264  0.15814  0.19422	 0.03400
 5.44944  19.23494  0.93998	 0.20522 -0.00361 -0.06806	 0.50269  0.15816  0.19424	 0.03400
-2.51928  2.01276 -3.79418	-0.09723 -0.05262  0.04331	 0.50271  0.15816  0.19425	 0.03400
-0.49445 -1.46133  0.16352	 0.00000 -0.01217  0.00000	 0.50275  0.15818  0.19427	 0.03400
 0.27490 -1.18560  0.31532	 0.00000 -0.01217  0.00000	 0.50280  0.15819  0.19429	 0.03400
 0.44005 -0.82696 -0.57338	 0.00000 -0.01217  0.00000	 0.50285  0.15821  0.19430	 0.03400
 0.80178 -1.35958 -0.19603	 0.00000 -0.01217  0.00000	 0.50291  0.15822  0.19433	 0.03400
-0.16372 -1.38228  0.40744	 0.00000 -0.01217  0.00000	 0.50293  0.15823  0.19433	 0.03400
-0.39014 -1.04626 -0.65581	 0.00000 -0.01217  0.00000	 0.50296  0.15824  0.19435	 0.03400
-0.09191  1.20600 -1.67564	-0.04937 -0.10094 -0.03227	 0.50303  0.15826  0.19438	 0.03400
-0.59627 -0.80976  0.25516	 0.00000 -0.01217  0.00000	 0.50307  0.15827  0.19439	 0.03400
-0.28111 -0.92778 -0.20967	 0.00000 -0.01217  0.00000	 0.50310  0.15828  0.19440	 0.03400
-2.29284  2.10677 -2.98488	-0.06907  0.02006  0.03624	 0.50315  0.15830  0.19442	 0.03400
